id=Espionage-	3	01/01/	1917	1917	AD.	Benito Mussolini, editor of the Il Popolo d'Italia newspaper, was paid 100 pounds a week by Britain, equal to about 6,000 pounds ($9,600) in 2009. The paper campaigned to keep Italy on the allied side in the war. This was made public in 2009 by Cambridge historian Peter Martland, based on papers from Sir Samuel Hoare (1880-1959), in charge of British agents in Rome at this time.	#Espionage
id=Espionage-	6	01/01/	1931	1931	AD.	Herbert Yardley (1889-1958), American cryptologist, authored 'The American Black Chamber.' The book outlined the history of the first US Signals Intelligence (SIGINT) organization, described the activities of MI-8 during World War I and the American Black Chamber in the 1920s, and illustrated the basic principles of signals security.	#Espionage
id=Espionage-	9	01/01/	1933	1933	AD.	German spy activities began in the US soon after Hitler came to power. In 2020 Rhodri Jeffreys-Jones authored 'Ring of Spies,' an account of Nazi espionage.	#Espionage
id=Espionage-	12	01/01/	1937	1937	AD.	Heinrich Himmler, acting interior minister of Germany, revised the chimney-sweep law. His rules tied the sweeps to their districts and decreed that they need to be German, to enable him to use them as local spies. In 1969 the law was updated and in theory opened the profession to non-Germans.	#Espionage
id=Espionage-	15	01/01/	1938	1938	AD.	Herbert Yardley, American cryptographer, went to Chongqing, China, to form a 'Chinese Black Chamber' for Chiang Kai-shek’s Nationalists.	#Espionage
id=Espionage-	18	01/01/	1940	1940	AD.	Britain’s PM Churchill set up the Special Operations Executive (SOE) to organize agents abroad. In 1942 the SOE began recruiting women. In 2005 Sarah Helm authored 'A Life in Secrets: The Story of Vera Atkins and the Lost Agents of the SOE.'	#Espionage
id=Espionage-	21	01/01/	1940	1940	AD.	Britain’s PM Winston Churchill sent a handful of young British officers to Washington, DC, to ingratiate themselves on the social scene and advance the British cause through good manners. They included Roald Dahl, Ian Fleming and David Ogilvy. In 2008 Jennet Conant authored 'The Irregulars: Roald Dahl and the British Spy Ring in Wartime Washington.	#Espionage
id=Espionage-	24	01/01/	1940	1940	AD.	Herbert Yardley, American cryptographer, was hired to help set up Canada’s wartime code-breaking operation.	#Espionage
id=Espionage-	27	01/01/	1947	1947	AD.	Frank Wisner was recruited by Dean Acheson to join the US State Department's Office of Occupied Territories. In 1948, the CIA created a covert action wing, innocuously called the Office of Policy Coordination (OPC). Frank Wisner was put in charge of the operation and recruited many of his old friends from the NYC Carter Ledyard law firm. Wisner later coined the term 'mighty Wurlitzer' to describe the orchestration of the agency’s activities.	#Espionage
id=Espionage-	30	01/01/	1947	1947	AD.	Isaiah Oggins, American-born graduate of Columbia Univ. and Soviet spy, was executed under the direction of Joseph Stalin in the Soviet Union. In 2008 Andrew Meier authored 'The Lost Spy: An American in Stalin’s Secret Service.'	#Espionage
id=Espionage-	33	01/01/	1948	1948	AD.	Echelon began with a secret international agreement between the US, Britain, and Canada to collate electronic intelligence. Australia and New Zealand signing up later. By 2005 it consisted of a global network of computers that automatically searched through millions of intercepted for pre-programmed keywords or fax, telex and e-mail addresses.	#Espionage
id=Espionage-	36	01/01/	1573	1573	AD.	Sir Francis Walsingham began serving as principal secretary for Queen Elizabeth I. He founded a vast espionage network to protect the queen and served her until 1590. In 2005 Stephen Budiansky authored 'Her Majesty’s Spymaster,' and account of Walsingham’s efforts.	#Espionage
id=Espionage-	39	01/01/	1586	1586	AD.	Sir Francis Walsingham, principal secretary to Queen Elizabeth I, uncovered a conspiracy by Mary, Queen of Scots, that called for a rebellion of Catholics, the landing of a foreign army and the assassination of the queen.	#Espionage
id=Espionage-	42	01/01/	1590	1590 Apr 6	AD.	Francis Walsingham (b.~1532), English secretary of state, died. He had ensnared Mary, Queen of the Scots and forced her execution. He is remembered as the 'spymaster' of Queen Elizabeth I of England. In 2007 Robert Hutchinson authored 'Elizabeth’s Spymaster: Francis Walsingham and the Secret War That Saved England.'	#Espionage
id=Espionage-	45	01/01/	1741	1741 Jan 14	AD.	Benedict Arnold, U.S. General turned traitor, was born.	#Espionage
id=Espionage-	48	01/01/	1777	1777 Dec 2	AD.	British officers under Gen. Howe met in the Philadelphia home of Lydia Darragh to discuss plans to the attack American forces on December 5, just prior to Gen. Washington’s planned move to Valley Forge. Mrs. Darragh listened in on the plans and sent word to Whitemarsh of the impending attack.	#Espionage
id=Espionage-	51	01/01/	1778	1778	AD.	Benjamin Tallmadge, under orders from George Washington, organized a spy network in NYC, the heart of the British forces. The code name for the group was Samuel Culper and it became known as the Culper Gang.	#Espionage
id=Espionage-	54	01/01/	1781	1781 May 14	AD.	Abram Petrovich Gannibal (b.1696), an African slave adopted by Peter the Great, died. He served Peter in various important capacities including spy and privy councilor. He is the great-grandfather of Alexander Pushkin. In 2005 Hugh Barnes authored 'Gannibal: The Moor of Petersburg.'	#Espionage
id=Espionage-	57	01/01/	1789	1789 Dec 28	AD.	Lydia Darrragh (b.1729), American spy, died in Philadelphia. Her exploits in 1777 did not become public until the publication of an anonymous article in 1827.	#Espionage
id=Espionage-	60	01/01/	1789	1789 Jul 14	AD.	The French Revolution. 'It was not the literate and cultured minority of Frenchmen who brought down the government, as had been the case in England and America. Instead it was the common people, who marched upon the king and queen in their palace at Versailles. The Jacobins promulgated a Declaration of Rights of Man and of the Citizen that went beyond the American Bill of Rights in affirming, 'Nothing that is not forbidden by Law may be hindered, and no one may be compelled to do what the Law does not ordain,' for 'Liberty consists in being able to do anything that does not harm others.'	#Espionage
id=Espionage-	63	01/01/	1825	1825 Dec 28	AD.	James Wilkinson (b.1757), US General and statesman, died In Mexico City. He was associated with several scandals and controversies. Wilkinson's involvement with the Spanish (as Agent 13) was widely suspected in his own day, but it was not proven until 1854, with Louisiana historian Charles Gayarre's publication of the American general's correspondence with Esteban Rodríguez Miró, Louisiana's colonial governor between 1785 and 1791. Other historians subsequently added to the catalog of Wilkinson's treasonous activities.	#Espionage
id=Espionage-	66	01/01/	1854	1854	AD.	Charles Wheatstone, British cryptologist, invented cipher to be used by diplomats, but a government official worried that it was too complicated. In 2006 Stephen Pincock authored 'Codebreaker' a tale of codes and ciphers as well as their creators and crackers.	#Espionage
id=Espionage-	69	01/01/	1862	1862 Aug 29	AD.	Confederate spy Belle Boyd was released from Old Capital Prison in Washington, DC.	#Espionage
id=Espionage-	72	01/01/	1862	1862 Jul 29	AD.	Confederate spy Belle Boyd (1844-1900) was arrested and confined at Old Capital Prison in Washington, DC.	#Espionage
